sample,structure,h_vs_rho_r,h_vs_rho_p,h_mean_vs_e_val_r,h_mean_vs_e_val_p
1,((((((((((...)))))))))),0.931618500487719,1.0780080084099842e-10,-0.4068474844912983,0.054023049392327264
3,..((((.....((((.....)))))))),0.5902052044217533,0.0009463359007802664,-0.18659127207358633,0.34174742911762157
4,.(((((........))))).......,0.5274537200625846,0.005622241054096302,-0.05167970180224864,0.8020281971995179
9,........((((.....)))).,0.6825133440474702,0.0004659084739424231,-0.28939760862484815,0.1914418727252306
11,........((......))....,0.7927027878527628,1.0886026719444434e-05,-0.28121593114225485,0.20487011212095743
12,..((((...)))).((((......)))),0.596171275211412,0.0008141672954771372,-0.08036726547670647,0.6843505765434896
14,(((...........)))....,0.6481901566560934,0.0014841116090709896,-0.11832941837081458,0.6094557473277624
15,((((((.(((....))).)))))),0.48165690340311695,0.017164228594307235,0.0757537166062763,0.7249803858314555
16,(((((((.....))))))),0.6480977057591578,0.002692005403211071,-0.23143234558500927,0.3404209219495138
17,..((((...))))......,0.6051705033517942,0.006043627044728105,-0.1892030770005142,0.4378821083866704
21,..(((((....))))).....,0.5318339055613323,0.013085871873592515,-0.13632836667621662,0.5556985690700811
22,..(((((.(((((.....)))).).))))),0.6737515019021468,4.480344722788095e-05,0.03438401378062494,0.8568545109023525
23,...((((........))))........,0.5540021997128455,0.002715591229962081,-0.052566043798904005,0.7945580618905689
30,..((((..(....)..)))).....,0.5064998718078815,0.009775973984184642,0.08611130162045204,0.6823376352843633
35,(((..((....))..)))...,0.5532130404376774,0.009286198430381355,-0.2243375704323389,0.3282572206814162
36,(((((((((.........))))))))),0.457950794918935,0.01630216490752184,0.060656655578733586,0.7637622104375708
37,((....))..........,0.8119432273067821,4.278393481601419e-05,-0.4732582488433941,0.04729054204893641
41,.....(((((.(((...)))..)))))..,0.504193644054842,0.005289360250489443,0.08089171834480566,0.6765771246464193
46,..........(.(((...))).)....,0.6890006001684782,7.061774547302842e-05,0.056067334170842725,0.781191033332394
47,(((.......)))............,0.7729665589603579,5.918751744416684e-06,-0.3267596843210885,0.11087491758025252
49,(((((((((.....))))))))),0.7915887938473641,6.8262423658664844e-06,-0.27587491364289096,0.20260419148622413
53,.(((.(...........).))),0.5548224643729921,0.0073620888635245775,-0.11473076218642306,0.6111678301590845
57,....((.(((.....))).))..,0.43731248845180476,0.03691324495806653,-0.014142564656891071,0.9489336707087006
58,((((......))))...........,0.7342486169162684,2.937175680612837e-05,-0.438379682014317,0.02837976415344464
60,..(((.......)))......,0.6406774233067577,0.0017536701451537405,-0.16773883835947673,0.4673597956238624
64,........(((.....))).......,0.6144695851647625,0.000838563194175217,-0.4048106018344601,0.040230144685959555
67,(((.((((...)))))))...,0.5989037721536741,0.004121388609556568,-0.17850736107108325,0.43882273225450236
69,.((..(((((((....))))..)))..)),0.5851375547520836,0.0008556742967758347,-0.007964946395884446,0.9672908179234809
72,.((((........)))).........,0.6219653100313146,0.0006933082797775338,-0.16294840541908462,0.42640942066323206
73,((((((.....))))))...,0.761358712890083,9.647078402004835e-05,-0.4812975630255717,0.03167268053295719
75,((((((((...)))))))),0.9433889814826742,1.4297887213167683e-09,-0.4866967179667516,0.03458490055112616
80,.......((((......)))),0.7756889894892746,3.600810101239249e-05,-0.5487278518606569,0.009997251179175002
81,..((((.(........))))),0.610582185505383,0.003284017948445934,0.0023282373282784165,0.9920085484974437
85,......((((......))))...,0.4747327688036206,0.022081161559704472,-0.07357684501524878,0.7386535704381249
86,.........(((....)))..,0.6176544859816239,0.0028498314808309126,-0.20079846888112463,0.38278979716094935
88,..(((((.(.....).))))),0.589824392507979,0.004888920522139765,0.008345423974734735,0.9713603437546122
90,............(((....)))....,0.4874017244125534,0.011551406459318875,0.09485597773762065,0.6448512469935119
91,..........(((......))).,0.6640237931931049,0.0005500591821818715,-0.23290841468405293,0.2848469369082406
94,...(.((((.........)))).).,0.5085550086237227,0.009434990016283343,0.22481849896055298,0.2799419667012344
96,....((((...))))......,0.45615665991678206,0.03767210490326036,-0.24907286075582247,0.27625195155620735
97,((.(((((.....))))).)).....,0.7144556055238742,4.131348295876873e-05,-0.21022751960411248,0.3026292480156633
99,(((((((((((....))))))))))),0.6927106578581911,8.784060913185714e-05,-0.3401364274700289,0.08909634843083321
